Rank,Entity,Overall_life_expectancy_at_birth,Male_life_expectancy_at_birth,Female_life_expectancy_at_birth,continent,label
55,British Virgin Islands,78.6,77.2,80.1,North America,4
56,Costa Rica,78.6,75.9,81.4,North America,4
57,Czech Republic,78.6,75.7,81.8,Europe,1
58,Panama,78.6,75.8,81.6,North America,4
59,Albania,78.3,75.7,81.2,Europe,1
60,Slovenia,78.2,74.6,82,Europe,1
61,Dominican Republic,78.1,75.9,80.5,North America,4
62,Sint Maarten ,78.1,75.8,80.6,North America,4
63,Kuwait,78,76.6,79.4,Asia,2
64,Northern Mariana Islands ,78,75.3,80.8,Oceania,3
65,Falkland Islands,77.9,75.6,79.6,South America,5
66,Saint Lucia,77.8,75,80.7,North America,4
67,New Caledonia ,77.7,73.7,81.9,Oceania,3
68,Lebanon,77.6,76.3,78.9,Asia,2
69,Poland,77.6,73.7,81.7,Europe,1
70,United Arab Emirates,77.5,74.8,80.2,Asia,2
71,Brunei,77.2,74.8,79.6,Asia,2
72,French Polynesia ,77.2,74.9,79.6,Oceania,3
73,Paraguay,77.2,74.5,80,South America,5
74,Uruguay,77.2,74.1,80.5,South America,5
75,Argentina,77.1,74,80.4,South America,5
76,Slovakia,77.1,73.5,80.9,Europe,1
77,Dominica,77,74,80.1,North America,4
78,Morocco,76.9,73.8,80.1,Africa,6
79,Algeria,76.8,75.5,78.2,Africa,6
80,Aruba ,76.8,73.7,79.9,South America,5
81,Ecuador,76.8,73.8,79.9,South America,5
82,Sri Lanka,76.8,73.3,80.4,Asia,2
83,Bosnia and Herzegovina,76.7,73.7,80,Europe,1
84,Estonia,76.7,71.9,81.7,Europe,1
85,Antigua and Barbuda,76.5,74.4,78.8,North America,4
86,Libya,76.5,74.7,78.3,Africa,6
87,Georgia,76.2,72.1,80.6,Asia,2
88,Republic of Macedonia,76.2,73.6,79,Europe,1
89,Tonga,76.2,74.7,77.8,Oceania,3
90,Tunisia,76.1,74,78.4,Africa,6
91,Croatia,75.9,72.7,79.2,Europe,1
92,Hungary,75.9,72.2,79.8,Europe,1
93,Mexico,75.9,73.1,78.8,North America,4
94,Cook Islands,75.8,73,78.8,Oceania,3
95,Venezuela,75.8,72.7,78.9,South America,5
96,Colombia,75.7,72.6,79,South America,5
97,Saint Kitts and Nevis,75.7,73.3,78.2,North America,4
98,Maldives,75.6,73.3,78,Asia,2
99,Mauritius,75.6,72.2,79.2,Africa,6
100,Oman,75.5,73.5,77.5,Asia,2
101,People's Republic of China,75.5,73.5,77.9,Asia,2
102,Serbia,75.5,72.6,78.5,Europe,1
103,American Samoa ,75.4,72.4,78.5,Oceania,3
104,Barbados,75.3,73,77.7,North America,4
105,Saint Vincent and the Grenadines,75.3,73.3,77.4,North America,4
106,Saudi Arabia,75.3,73.2,77.4,Asia,2
107,Solomon Islands,75.3,72.7,78.1,Oceania,3
108,Romania,75.1,71.7,78.8,Europe,1
109,Malaysia,75,72.2,78,Asia,2
110,West Bank,75,73,77.1,Asia,2
111,Iraq,74.9,72.6,77.2,Asia,2
112,Lithuania,74.9,69.5,80.6,Europe,1
113,Syria,74.9,72.5,77.4,Asia,2
114,Turkey,74.8,72.5,77.3,Asia,2
115,El Salvador,74.7,71.4,78.1,North America,4
116,Seychelles,74.7,70.2,79.4,Africa,6
117,Thailand,74.7,71.5,78,Asia,2
